brand,size,color,upc,sku
UTC Wire,Brassie,Dun,053526378801,939-378801
UTC Wire,Brassie,Fuchsia,053526378818,939-378818
UTC Wire,Brassie,Ginger,053526378535,939-378535
UTC Wire,Brassie,Gold,762820057922,939-05792
UTC Wire,Brassie,Golden Olive,053526378726,939-378726
UTC Wire,Brassie,Gray,053526378511,939-378511
UTC Wire,Brassie,Green,762820057878,939-05787
UTC Wire,Brassie,Gun Metal Blue,053526378771,939-378771
UTC Wire,Brassie,Hot Orange Metallic,053526378665,939-378665
UTC Wire,Brassie,Hot Yellow,762820057946,939-05794
UTC Wire,Brassie,Olive,762820057885,939-05788
UTC Wire,Brassie,Pink,053526378610,939-378610
UTC Wire,Brassie,Purple,053526378788,939-378788
UTC Wire,Brassie,Red,762820057892,939-05789
UTC Wire,Brassie,Rust,053526378634,939-378634
UTC Wire,Brassie,Sculpin Olive,053526378795,939-378795
UTC Wire,Brassie,Silver,762820057953,939-05795
UTC Wire,Brassie,Tan,053526378719,939-378719
UTC Wire,Brassie,White,762820089237,939-08923
UTC Wire,Brassie,Wine Metallic,053526378559,939-378559
UTC Wire,Small,Amber,762820057700,939-05770
UTC Wire,Small,Black,762820057717,939-05771
UTC Wire,Small,Blue,762820069314,939-06931
UTC Wire,Small,Brown,762820057724,939-05772
UTC Wire,Small,Chartreuse,762820057786,939-05778
UTC Wire,Small,Copper,762820057731,939-05773
UTC Wire,Small,Copper Brown,762820066443,939-06644
UTC Wire,Small,Fuchsia,053526378375,939-378375
UTC Wire,Small,Ginger,053526378030,939-378030
UTC Wire,Small,Gold,762820057793,939-05779
UTC Wire,Small,Golden Olive,053526378221,939-378221
UTC Wire,Small,Gray,053526378016,939-378016
UTC Wire,Small,Green,762820057748,939-05774
UTC Wire,Small,Gun Metal Blue,053526378276,939-378276
UTC Wire,Small,Hot Orange,762820057809,939-05780
UTC Wire,Small,Hot Yellow,762820057816,939-05781
UTC Wire,Small,Olive,762820057755,939-05775
UTC Wire,Small,Pink,053526378115,939-378115
UTC Wire,Small,Purple,053526378351,939-378351
UTC Wire,Small,Red,762820057762,939-05776
UTC Wire,Small,Rust,053526378139,939-378139
UTC Wire,Small,Sculpin Olive,053526378368,939-378368
UTC Wire,Small,Silver,762820057823,939-05782
UTC Wire,Small,Tan,053526378214,939-378214
UTC Wire,Small,White,762820089251,939-08925
UTC Wire,Small,Wine,762820057779,939-05777
UTC Wire,Medium,Amber,762820057960,939-05796
UTC Wire,Medium,Black,762820057977,939-05797
UTC Wire,Medium,Blue,762820069321,939-06932
UTC Wire,Medium,Brown,762820057984,939-05798
UTC Wire,Medium,Cerise,053526379327,939-379327
UTC Wire,Medium,Chartreuse,762820058035,939-05803
UTC Wire,Medium,Copper,762820057991,939-05799
UTC Wire,Medium,Copper Brown,762820066467,939-06646
UTC Wire,Medium,Dun,053526379303,939-379303
UTC Wire,Medium,Fuchsia,053526379310,939-379310
UTC Wire,Medium,Ginger,053526379037,939-379037
UTC Wire,Medium,Gold,762820058042,939-05804
UTC Wire,Medium,Golden Olive,053526379228,939-379228
UTC Wire,Medium,Gray,053526379013,939-379013
UTC Wire,Medium,Green,762820058004,939-05800
UTC Wire,Medium,Gun Metal Blue,053526379273,939-379273
UTC Wire,Medium,Hot Orange,762820058059,939-05805
UTC Wire,Medium,Hot Yellow,762820058066,939-05806
UTC Wire,Medium,Olive,762820058011,939-058011
UTC Wire,Medium,Pink,053526379112,939-379112
UTC Wire,Medium,Purple,053526379280,939-379280
UTC Wire,Medium,Red,762820058012,939-058012
UTC Wire,Medium,Rust,053526379136,939-379136
UTC Wire,Medium,Sculpin Olive,053526379297,939-379297
UTC Wire,Medium,Silver,762820058073,939-05807
UTC Wire,Medium,Tan,053526379211,939-379211
UTC Wire,Medium,White,053526379143,939-379143
UTC Wire,Medium,Wine,762820058028,939-05802
UTC Wire,Large,Amber,053526379624,939-379624
UTC Wire,Large,Black,053526379600,939-379600
UTC Wire,Large,Blue Metallic,053526379587,939-379587
UTC Wire,Large,Brown,053526379549,939-379549
UTC Wire,Large,Cerise,053526379778,939-379778
UTC Wire,Large,Chartreuse Metallic,053526379679,939-379679
UTC Wire,Large,Copper,053526379525,939-379525
UTC Wire,Large,Copper Brown,053526379709,939-379709
UTC Wire,Large,Dun,053526379754,939-379754
UTC Wire,Large,Fuchsia,053526379761,939-379761
