zip,tier
03601,DAS_EXTENDED
03602,DAS_EXTENDED
03603,DAS_EXTENDED
03605,DAS_EXTENDED
03607,DAS_EXTENDED
03608,DAS
03609,DAS_EXTENDED
03740,DAS_EXTENDED
03741,DAS
03743,DAS
03745,DAS_EXTENDED
03746,DAS_EXTENDED
03748,DAS
03750,DAS_EXTENDED
03751,DAS_EXTENDED
03752,DAS_EXTENDED
03753,DAS
03754,DAS
03765,DAS_EXTENDED
03768,DAS_EXTENDED
03769,DAS
03770,DAS
03771,DAS
03773,DAS
03774,DAS
03777,DAS_EXTENDED
03779,DAS_EXTENDED
03780,DAS_EXTENDED
03781,DAS_EXTENDED
03782,DAS_EXTENDED
03785,DAS
03809,DAS_EXTENDED
03810,DAS_EXTENDED
03811,DAS
03812,DAS_EXTENDED
03813,DAS_EXTENDED
03814,DAS_EXTENDED
03815,DAS_EXTENDED
03816,DAS_EXTENDED
03817,DAS_EXTENDED
03818,DAS_EXTENDED
03819,DAS
03823,DAS
03824,DAS
03825,DAS
03827,DAS
03830,DAS_EXTENDED
03832,DAS_EXTENDED
03835,DAS_EXTENDED
03836,DAS_EXTENDED
03837,DAS_EXTENDED
03838,DAS
03841,DAS
03844,DAS
03845,DAS_EXTENDED
03846,DAS_EXTENDED
03848,DAS
03849,DAS_EXTENDED
03850,DAS
03851,DAS_EXTENDED
03852,DAS_EXTENDED
03853,DAS_EXTENDED
03855,DAS_EXTENDED
03856,DAS
03860,DAS_EXTENDED
03861,DAS
03864,DAS_EXTENDED
03868,DAS
03869,DAS
03870,DAS
03872,DAS_EXTENDED
03873,DAS
03875,DAS_EXTENDED
03882,DAS_EXTENDED
03883,DAS_EXTENDED
03884,DAS_EXTENDED
03886,DAS_EXTENDED
03887,DAS_EXTENDED
03890,DAS_EXTENDED
03894,DAS_EXTENDED
03896,DAS_EXTENDED
03897,DAS_EXTENDED
03901,DAS
03902,DAS
03903,DAS
03905,DAS
03907,DAS
03908,DAS
04001,DAS_EXTENDED
04002,DAS
04003,DAS_EXTENDED
04008,DAS_EXTENDED
04009,DAS_EXTENDED
04010,DAS_EXTENDED
04013,DAS_EXTENDED
04015,DAS_EXTENDED
04016,DAS_EXTENDED
04017,REMOTE_US48
04019,REMOTE_US48
04020,DAS_EXTENDED
04021,DAS
04022,DAS_EXTENDED
04024,DAS_EXTENDED
04027,DAS_EXTENDED
04029,DAS_EXTENDED
04030,DAS
04032,DAS_EXTENDED
04033,DAS
04034,DAS_EXTENDED
04037,DAS_EXTENDED
04038,DAS
04039,DAS
04040,DAS_EXTENDED
04041,DAS_EXTENDED
04042,DAS
04046,DAS
04047,DAS_EXTENDED
04048,DAS_EXTENDED
04049,DAS_EXTENDED
04050,REMOTE_US48
04051,DAS_EXTENDED
04053,DAS_EXTENDED
04054,DAS
04055,DAS_EXTENDED
04056,DAS_EXTENDED
04057,DAS_EXTENDED
04061,DAS
04062,DAS
04063,DAS_EXTENDED
04066,DAS_EXTENDED
04068,DAS_EXTENDED
04069,DAS_EXTENDED
04071,DAS_EXTENDED
04073,DAS
04075,DAS_EXTENDED
04076,DAS_EXTENDED
04077,DAS_EXTENDED
04078,DAS_EXTENDED
04079,DAS_EXTENDED
04083,DAS
04084,DAS
04085,DAS
04086,DAS
04087,DAS
04088,DAS_EXTENDED
04090,DAS
04091,DAS_EXTENDED
04093,DAS
04095,DAS_EXTENDED
04096,DAS
04097,DAS
04108,REMOTE_US48
04109,DAS_EXTENDED
04216,DAS_EXTENDED
04217,DAS_EXTENDED
04219,DAS_EXTENDED
04220,DAS_EXTENDED
04221,DAS_EXTENDED
04222,DAS
04224,DAS_EXTENDED
04225,DAS
04226,DAS_EXTENDED
04227,DAS_EXTENDED
04228,DAS
04230,DAS
04231,DAS_EXTENDED
04234,DAS_EXTENDED
